sale_id,store_id,sale_date,gross_amount,tax_amount,channel
SL-1184,ST-02,2026-07-08,37.47,3.01,online
SL-1185,ST-02,2026-07-08,57.55,3.50,phone
SL-1186,ST-03,2026-07-08,65.04,5.37,online
SL-1187,ST-05,2026-07-08,22.25,1.67,online
SL-1188,ST-05,2026-07-08,384.19,26.55,in_store
SL-1189,ST-03,2026-07-08,359.64,31.60,online
SL-1190,ST-01,2026-07-08,39.96,3.16,online
SL-1191,ST-02,2026-07-08,364.61,25.27,in_store
SL-1192,ST-02,2026-07-08,65.24,4.47,in_store
SL-1193,ST-01,2026-07-08,58.42,4.74,in_store
SL-1194,ST-04,2026-07-08,340.91,23.13,in_store
SL-1195,ST-05,2026-07-08,79.65,6.57,in_store
SL-1196,ST-01,2026-07-08,340.27,24.14,in_store
SL-1197,ST-02,2026-07-08,335.54,22.71,in_store
SL-1198,ST-02,2026-07-08,208.50,13.31,phone
SL-1199,ST-04,2026-07-08,211.02,18.12,in_store
SL-1200,ST-01,2026-07-08,353.76,30.70,online
SL-1201,ST-03,2026-07-08,226.21,15.35,in_store
SL-1202,ST-05,2026-07-08,151.57,10.28,in_store
SL-1203,ST-02,2026-07-08,32.31,2.24,online
